Salary,Company,Placement (Time in Months),,,
"$115,000 ",Binti,4,,,
"$59,999 ",Codeparticle,8,,,
"$60,000 ",Infosys,10,,,
"$82,000 ",Abridge.AI,4,,,
"$95,000 ",Axon,5,,,
"$100,000 ",Epic,5,,,
"$115,000 ",TrueAccord,3,,,
"$125,000 ",TrueAccord,6,,,
"$68,000 ",DXC Technology,5,,,
"$80,000 ",Kaiser Permanente,9,,,
"$84,271 ",Walmart,6,,,
"$90,000 ",Smarkets,4,,,
"$107,000 ",{UNREPORTED_DATA},3,,,
"$110,000 ",Google,2,,,
"$115,000 ",OpenGov,11,,,
"$120,000 ",VMWare,3,,,
"$120,000 ",Fortanix,3,,,
"$120,556 ",Clover Networks,3,,,
"$145,000 ",Facebook,3,,,
"$152,500 ",Doordash,3,,,
"$165,000 ",Amazon,9,,,
"$183,000 ",Amazon,3,,,
"$67,200 ",QualStaff Resources,4,,,
"$65,650 ",ReadingPlus,3,,,
"$85,000 ",Assurance,7,,,
"$92,829 ",Cars.com,2,,,
"$105,000 ",Cerner,2,,,
"$110,000 ",Arc Block,2,,,
"$110,000 ",{UNREPORTED_DATA},4,,,
"$115,000 ",Yelp,8,,,
"$115,000 ",Microsoft,2,,,
"$131,000 ",Google,4,,,
"$190,000 ",Google,4,,,
"$80,000 ",Attadale Partners,3,,,
"$95,000 ",LogMeIn,2,,,
"$95,200 ",Amazon,2,,,
"$99,000 ",Smarkets,3,,,
"$107,440 ",Esri,2,,,
"$113,300 ",Uber,2,,,
"$130,000 ",Postmates,2,,,
"$141,000 ",Microsoft,1,,,
"$45,076 ",Q-Games,3,,,
"$52,000 ",American Labor Alliance,2,,,
"$62,000 ",UPS,2,,,
"$75,000 ",Connectify,2,,,
"$92,000 ",{UNREPORTED_DATA},2,,,
"$102,000 ",Walmart,3,,,
"$120,000 ",Ellie Mae,4,,,
"$125,000 ",Splunk,6,,,
"$135,000 ",Facebook,4,,,
"$150,000 ",Meraki,5,,,
"$171,000 ",Amazon,9,,,
"$250,000 ",Facebook,6,,,
"$41,600 ",Athena Technology,3,,,
"$60,000 ",Brightfind,2,,,
"$65,000 ",Wavemaker Partners,2,,,
"$75,000 ",Rooms To Go,6,,,
"$95,000 ",SignalFX,8,,,
"$96,429 ",Uber,11,,,
"$102,000 ",E&Y,3,,,
"$105,000 ",Cohesity,3,,,
"$106,000 ",Palo Alto Netoworks,6,,,
"$108,000 ",Amazon,9,,,
"$120,000 ",JP Morgan Chase,4,,,
"$60,000 ",Infosys,4,,,
"$60,000 ",Techedge,5,,,
"$77,500 ",Raytheon,7,,,
"$78,000 ",Northrop Gruman,1,,,
"$80,000 ",Streamlabs,10,,,
"$80,080 ",Lytx,1,,,
"$90,000 ",Fannie Mae,0,,,
"$92,000 ",Lawyaw,9,,,
"$108,000 ",Amazon,11,,,
"$110,000 ",Alarm.com,2,,,
"$110,000 ","Nylas, Inc.",3,,,
"$125,000 ",Splunk,11,,,
"$125,000 ",Mercari,8,,,
"$130,000 ",Salesforce,3,,,
"$142,361 ",Qualcomm,8,,,
"$145,000 ",GoDaddy,7,,,
"$66,000 ",Truebill,8,,,
"$80,460 ",Workday,8,,,
"$83,000 ","Hyland Software, Inc.",2,,,
"$85,000 ",SAS,7,,,
"$90,000 ",OpenAI,10,,,
"$95,200 ",Amazon,1,,,
"$95,500 ",Connexta,2,,,
"$108,800 ",SignalFX,2,,,
"$110,000 ",Facebook,7,,,
"$132,000 ",Amazon,7,,,
"$57,467 ",Semantic Arts Inc.,1,,,
"$68,000 ",Levvel,1,,,
"$100,000 ",Sumo Logic,9,,,
"$118,000 ",Shrodinger,10,,,
"$120,000 ",thoughtworks,7,,,
"$142,000 ",Amazon,4,,,
"$150,000 ",Sisu Data,3,,,
"$155,000 ",Lifion,2,,,
"$60,000 ",Clerkie.io,1,,,
"$74,880 ",Kelly Services OCG,8,,,
"$75,000 ",Perspecta,10,,,
"$78,500 ",Walmart Labs,2,,,
"$85,000 ",Walmart,6,,,
"$96,000 ",{UNREPORTED_DATA},8,,,
"$105,000 ",Atlassian,2,,,
"$112,000 ",Google,6,,,
"$114,400 ",Aquent,2,,,
"$115,000 ",Bank of America,2,,,
"$115,000 ","F5 Networs, Inc.",3,,,
"$117,000 ",Expedia,6,,,
"$132,000 ",Amazon,4,,,
"$140,000 ",Google,7,,,
"$42,000 ",MK Decision,9,,,
"$54,996 ",Hustle,4,,,
"$65,000 ",Blueprint,6,,,
"$72,000 ",Cerner,3,,,
"$74,500 ",Digi International Inc.,11,,,
"$75,000 ",LexisNexis,6,,,
"$80,000 ",Consqeta,9,,,
"$90,000 ",Indeed,3,,,
"$100,000 ",Blackrock,9,,,
"$105,000 ",TrueAccord,6,,,
"$112,000 ","F5 Networks, Inc.",4,,,
"$123,000 ",Amazon,1,,,
"$130,000 ",Google,7,,,
"$135,000 ",GLU,0,,,
"$140,000 ",TextRecruit,3,,,
"$140,000 ",Cricket Health,6,,,
"$155,000 ",Salesforce,2,,,
"$50,000 ",Hanzo,2,,,
"$66,000 ",UpClear,11,,,
"$70,720 ",Infosys,7,,,
"$72,800 ",Abalta,6,,,
"$75,000 ",Putnam Investments,1,,,
"$75,000 ","System Management Associates, LLC",3,,,3
"$75,000 ",Ezoic,4,,,
"$80,000 ",IBM,1,,,
"$84,000 ",Target,4,,,
"$96,500 ",Amazon,7,,,
"$98,000 ",Cornerstone OnDemand,6,,,
"$110,000 ",Thumbtack,3,,,
"$113,000 ",Capital One,5,,,
"$125,000 ",NCC Group,3,,,
"$145,000 ",Akuna Capital,1,,,
"$205,000 ",Amazon,2,,,
"$54,451 ",San Francisco Airport,8,,,
"$75,000 ",Beyond Limits,5,,,
"$76,800 ",Averro,4,,,
"$110,000 ","Chartboost,Equinix",6,,,
"$110,000 ",TrueAccord,5,,,
"$115,000 ",Aurora,8,,,
"$130,000 ",6sense,5,,,
"$132,000 ",Amazon,6,,,
"$49,607 ",Shoppe,7,,,
"$57,216 ",Infosys,6,,,
"$62,000 ",Housecall Pro,1,,,
"$65,000 ",MST Solutions,2,,,
"$69,231 ",Modular Mining Systems,3,,,
"$75,000 ",Vantage Labs,7,,,
"$75,000 ",Hillrom,5,,,
"$75,000 ",Columbia University,6,,,
"$77,644 ",Amazon,1,,,
"$79,344 ",Accenture,5,,,
"$80,000 ",Quantum Metric,5,,,
"$82,000 ",General Electric,5,,,
"$100,000 ",Fortanix,4,,,
"$108,000 ",Amazon,3,,,
"$112,000 ",Google,3,,,
"$115,000 ",Cadence Design Systems,3,,,
"$115,200 ",Quantiphi,2,,,
"$120,000 ",eBay,5,,,
"$120,000 ",EasyPost,9,,,
"$125,000 ",Quantcast,3,,,
"$129,000 ",CBS Interactive,6,,,
"$132,000 ",Amazon,1,,,
"$142,000 ",Amazon (audible),6,,,
"$155,000 ",Path AI,5,,,
"$178,000 ",Box,2,,,
"$48,000 ",Chetan,7,,,
"$49,920 ",Aleks - McGraw-Hill,4,,,
"$54,000 ",{UNREPORTED_DATA},7,,,
"$60,000 ",IBM,3,,,
"$62,000 ",QCI,5,,,
"$65,000 ",Office Ally,2,,,
"$65,000 ",WeWork,2,,,
"$65,280 ",Red Hat,1,,,
"$67,200 ",Helitrack,2,,,
"$70,000 ",Ambry,2,,,
"$70,000 ",Innovive,1,,,
"$70,000 ",Charles Schwab,1,,,
"$81,200 ",{UNREPORTED_DATA},8,,,
"$83,200 ",Comcast (through TekSystems) ,7,,,
"$85,000 ",OpenDoor,6,,,
"$85,000 ",{UNREPORTED_DATA},3,,,
"$88,000 ",IDbyDNA,9,,,
"$105,000 ",Expedia,4,,,
"$108,000 ",Amazon,1,,,
"$120,000 ",Oracle,3,,,
"$130,000 ",Pilot.com,3,,,
"$135,000 ",Yelp,6,,,
"$135,000 ",Microsoft,5,,,
"$60,000 ",Ronin Capital,2,,,
"$62,000 ",Envolve,7,,,
"$96,000 ",ConnectIQ,3,,,
"$108,000 ",Amazon,3,,,
"$112,000 ",GE Healthcare,3,,,
"$115,000 ",TrueAccord,3,,,
"$120,000 ",Hubspot,1,,,
"$125,000 ",Rigetti,7,,,
"$132,000 ",Amazon,6,,,
"$135,000 ",Synopsys,5,,,
"$160,062 ",Cisco,1,,,
"$65,000 ",Capgemini,2,,,
"$66,000 ",AnitaB.org,4,,,
"$70,000 ",Dal-Tile,1,,,
"$76,800 ",Nike Inc.,2,,,
"$77,500 ",Performics,3,,,
"$80,000 ",BlockFi,5,,,
"$90,000 ",Step Mobile,8,,,
"$90,000 ",Spruce,1,,,
"$95,000 ",Honeywell,7,,,
"$98,000 ",Landed,6,,,
"$100,000 ",Redroute Inc.,8,,,
"$100,000 ",Accel Robotics,3,,,
"$107,000 ",Altierre,3,,,
"$108,000 ",Amazon,2,,,
"$109,000 ",Amazon,6,,,
"$110,000 ",Samba TV,3,,,
"$134,000 ",Microsoft,7,,,
"$175,000 ",Amazon,3,,,
"$48,000 ",TracFlo,7,,,
"$65,000 ",Mthree Consulting Limited,5,,,
"$65,000 ",BallerTV,3,,,
"$75,000 ",Solstice,6,,,
"$83,196 ",3m,2,,,
"$115,000 ",Hertz,5,,,
"$130,000 ",LeanTaas,6,,,
"$58,500 ",{UNREPORTED_DATA},5,,,
"$60,000 ",Microsoft,5,,,
"$60,000 ",Crossix,5,,,
"$75,000 ",openfin,3,,,
"$88,000 ",CoStar Group,6,,,
"$100,000 ",Blackrock,0,,,
"$108,000 ",Amazon,1,,,
"$132,000 ",Amazon,3,,,
"$150,000 ",Facebook,2,,,
"$85,000 ",KeyCorp,1,,,
"$90,000 ",Fyber,1,,,
"$95,000 ",Octane Landing,5,,,
"$117,000 ",{UNREPORTED_DATA},3,,,
"$73,846 ",VectorWorks,2,,,
"$75,000 ",Vantage Labs,3,,,
"$80,018 ",Fifth Third Bank,3,,,
"$87,500 ",Feed Communications,2,,,
"$89,250 ",Fractal,6,,,
"$92,000 ",Fedex,5,,,
"$108,000 ",Amazon,4,,,
"$112,000 ",Google,0,,,
"$115,000 ",Udemy,5,,,
"$132,000 ",Amazon,5,,,
"$135,000 ",Quizlet,6,,,
"$137,800 ",Chewy,3,,,
"$55,000 ",{UNREPORTED_DATA},4,,,
"$115,000 ",Behold.ai,2,,,
"$120,000 ",Engagio,5,,,
"$60,000 ",e-PlanSoft,5,,,
"$115,000 ",Hubspot,3,,,
"$65,000 ",TensorIOT,3,,,
"$76,000 ",Dominos,5,,,
"$114,500 ",Ebay,3,,,
"$157,000 ",Bolt,3,,,
"$65,000 ",{UNREPORTED_DATA},2,,,
"$75,000 ",{UNREPORTED_DATA},1,,,
"$75,000 ",Alteire,3,,,
"$85,000 ",Nextleaf Analytics,1,,,
"$95,000 ",Zepl,4,,,
"$102,000 ",C3.ai,2,,,
"$110,000 ",EMX,4,,,
"$80,000 ",{UNREPORTED_DATA},3,,,
"$90,000 ",Paytronix Systems,2,,,
"$93,500 ",Thoughtworks,2,,,
"$96,000 ",Target,2,,,
"$122,500 ",Kensho,2,,,
"$145,000 ",Qualia Labs,2,,,
"$150,000 ",Osaro,2,,,
"$51,328 ",Shopeee,3,,,
"$62,000 ",Lucid,2,,,
"$130,000 ",Optimus Ride,3,,,
"$70,000 ",Computer Analyst,3,,,
"$80,000 ",Synopsys,3,,,
"$115,000 ",Yearly,2,,,
"$153,000 ",Google,2,,,
"$52,000 ",RedStream Technology LLc,2,,,
"$74,000 ","Perspecta, Inc.",1,,,
"$100,000 ",Reef,1,,,
"$65,000 ","HCL America Solutions, Inc.",1,,,1
"$80,000 ",DeShong Companies LLC,1,,,
"$83,200 ",Iotium,1,,,
"$110,000 ",Microsoft,1,,,
"$125,000 ",Groupon,1,,,
